
04/04/2016 12:00, 
04/04/2016 11:00, 
04/04/2016 10:00, 
04/04/2016 09:00, 
04/04/2016 08:00, 
04/04/2016 07:00, 
04/04/2016 06:00, 
04/04/2016 05:00, 
04/04/2016 04:00, -, 
04/04/2016 03:00, -, 
04/04/2016 02:00, -, 
04/04/2016 01:00, -, 
04/04/2016 00:00, -, 
04/02/2016 23:00, -, 
04/02/2016 22:00, -, 
04/02/2016 21:00, -, 
04/02/2016 20:00, 
04/02/2016 19:00, 
04/02/2016 18:00, 
04/02/2016 17:00, -, 
04/02/2016 16:00, -, 
04/02/2016 15:00, -, 
04/02/2016 14:00, -, 
04/02/2016 13:00, 
04/02/2016 12:00, 
04/02/2016 11:00, 
04/02/2016 10:00, 
04/02/2016 09:00, -, 
04/02/2016 08:00, 
04/02/2016 07:00, 
04/02/2016 06:00, -, 
04/02/2016 05:00, -, 
04/02/2016 04:00, -, 
04/02/2016 03:00, -, 
04/02/2016 02:00, -, 
04/02/2016 01:00, -, 
04/02/2016 00:00, -, 
